gene,length,molecular_weight,isoelectric_point,gravy,aromaticity,aliphatic_index,instability_index,lysine_count,lysine_density,cysteine_count,cysteine_density,disorder_propensity
PIK3CB,1070,142037.5,6.68,-0.201,0.0953,95.9,2.1,81,0.0757,24,0.02243,0.3953
PIK3CD,1044,138286.0,6.77,-0.255,0.09,90.6,2.0,67,0.06418,30,0.02874,0.4195
PIK3CG,1102,146305.4,7.17,-0.322,0.0898,91.3,2.5,80,0.0726,21,0.01906,0.4083
PIK3R1,724,96640.6,5.78,-0.716,0.0884,81.5,3.0,55,0.07597,6,0.00829,0.4392
PIK3R2,728,94659.5,6.0,-0.627,0.0714,79.5,4.3,34,0.0467,6,0.00824,0.4904
PIK3R3,461,62753.0,5.63,-0.868,0.0998,73.1,2.2,37,0.08026,5,0.01085,0.4056
PPP2R1A,589,75918.8,4.86,0.075,0.056,109.4,1.5,32,0.05433,14,0.02377,0.4109
PPP2R1B,601,77039.9,4.69,0.08,0.0549,110.4,1.8,30,0.04992,11,0.0183,0.421
PTEN,403,54426.1,5.92,-0.69,0.1241,67.0,1.5,34,0.08437,10,0.02481,0.3797
RALA,206,27277.7,6.98,-0.621,0.0825,75.7,0.5,21,0.10194,3,0.01456,0.4466
RALB,206,27119.5,6.26,-0.624,0.0825,74.8,1.0,23,0.11165,2,0.00971,0.4806
RAP1A,184,24301.9,6.54,-0.375,0.0761,88.4,2.2,17,0.09239,6,0.03261,0.4185
RAP1B,184,24139.5,5.51,-0.39,0.0761,87.3,3.3,14,0.07609,4,0.02174,0.4185
RAP2A,183,23912.1,4.57,-0.28,0.0874,83.0,3.3,12,0.06557,4,0.02186,0.4481
RAP2B,183,23801.0,4.57,-0.202,0.0929,85.7,2.2,11,0.06011,4,0.02186,0.4536
RAP2C,183,24041.4,4.72,-0.246,0.0874,84.5,2.7,12,0.06557,4,0.02186,0.4426
RASA1,1047,135264.1,6.09,-0.255,0.0821,88.4,2.6,61,0.05826,16,0.01528,0.4422
RASA2,850,111926.3,6.81,-0.428,0.0894,82.2,2.0,71,0.08353,24,0.02824,0.4306
RASD2,266,35157.9,9.17,-0.407,0.0827,76.9,0.0,20,0.07519,7,0.02632,0.3985
RASL10A,203,26197.8,10.11,-0.263,0.0837,89.0,1.5,5,0.02463,5,0.02463,0.4187
RASL10B,203,26886.2,9.7,0.115,0.0985,101.7,2.0,8,0.03941,10,0.04926,0.3251
RASL11A,242,31365.6,9.33,-0.24,0.0702,97.4,0.8,15,0.06198,3,0.0124,0.4463
RASL11B,248,31975.3,9.44,-0.135,0.0605,96.2,2.8,13,0.05242,7,0.02823,0.4234
RASL12,266,34453.7,9.44,-0.241,0.0789,86.6,2.3,15,0.05639,4,0.01504,0.4436
RERG,199,26192.7,7.17,-0.388,0.0704,85.2,1.0,14,0.07035,4,0.0201,0.407
RERGL,205,27547.7,9.95,-0.327,0.1024,87.5,2.0,21,0.10244,6,0.02927,0.4244
RHEB,184,23812.1,5.58,-0.094,0.087,94.8,1.6,14,0.07609,1,0.00543,0.4511
RHEBL1,183,23978.2,6.26,-0.216,0.0984,90.9,1.1,10,0.05464,2,0.01093,0.4262
RIT1,219,29089.9,9.5,-0.562,0.0913,72.1,1.4,18,0.08219,4,0.01826,0.4247
RIT2,217,28577.2,6.14,-0.497,0.0968,70.1,0.9,18,0.08295,4,0.01843,0.4747
RRAS,218,27407.6,6.51,-0.348,0.078,75.1,4.6,10,0.04587,3,0.01376,0.5046
RRAS2,204,27074.5,5.66,-0.549,0.0931,73.6,1.5,13,0.06373,4,0.01961,0.4412
SH2D1A,128,16493.0,8.84,-0.323,0.0938,83.7,3.9,9,0.07031,3,0.02344,0.4531
SH2D1B,132,17674.6,9.21,-0.329,0.1061,93.6,0.8,11,0.08333,3,0.02273,0.3864
SH2D2A,389,49942.0,7.05,-0.651,0.072,67.8,3.1,10,0.02571,5,0.01285,0.5347
SH2D4B,431,58996.0,5.83,-0.914,0.0882,76.6,3.0,29,0.06729,2,0.00464,0.4826
SH2D6,335,42292.7,6.56,-0.559,0.0567,71.1,4.5,12,0.03582,5,0.01493,0.5284
SH2D7,451,57930.9,5.98,-0.698,0.0754,66.3,2.7,17,0.03769,5,0.01109,0.5188
SHB,509,64211.4,9.07,-0.794,0.0707,55.0,3.0,32,0.06287,13,0.02554,0.5658
SHC1,583,73324.4,5.99,-0.494,0.0532,72.5,5.3,21,0.03602,9,0.01544,0.5026
SHC2,582,72400.3,6.3,-0.356,0.055,74.7,4.1,17,0.02921,12,0.02062,0.5189
SHC3,594,74756.8,8.33,-0.481,0.0556,73.3,3.5,32,0.05387,9,0.01515,0.5135
SHC4,630,80134.1,7.65,-0.491,0.0492,74.9,5.1,31,0.04921,19,0.03016,0.4778
SHD,340,44389.2,4.74,-0.962,0.0853,59.2,5.6,14,0.04118,2,0.00588,0.5353
SHE,495,62867.3,9.53,-0.875,0.0586,62.0,3.2,41,0.08283,6,0.01212,0.5758
SHF,423,54388.3,5.99,-0.891,0.0591,60.9,3.1,26,0.06147,4,0.00946,0.5674
SIK1,783,99007.2,6.81,-0.201,0.0639,85.5,3.1,24,0.03065,19,0.02427,0.4904
SIK2,926,120596.5,5.65,-0.487,0.068,79.7,5.2,34,0.03672,15,0.0162,0.4946
SIK3,1321,168648.4,6.31,-0.537,0.0522,73.5,5.4,45,0.03407,22,0.01665,0.5095
SLA2,261,33286.9,5.1,-0.212,0.069,94.9,2.3,7,0.02682,4,0.01533,0.4789
STAP1,295,39605.6,7.8,-0.596,0.0847,82.2,2.7,26,0.08814,4,0.01356,0.4237
STK11,433,56436.0,7.16,-0.463,0.0739,80.4,3.5,32,0.0739,10,0.02309,0.4503
SUPT6H,1726,230165.3,4.66,-0.856,0.0881,67.9,1.6,118,0.06837,22,0.01275,0.4623
TNS1,1839,230150.8,8.02,-0.541,0.062,64.4,4.4,76,0.04133,26,0.01414,0.5324
TNS2,1409,177962.5,8.24,-0.554,0.0703,65.3,4.8,57,0.04045,33,0.02342,0.5266
TNS4,715,89643.9,6.98,-0.384,0.0545,69.3,3.9,25,0.03497,19,0.02657,0.5301
TP53,393,50732.8,6.34,-0.756,0.0611,59.1,4.6,20,0.05089,10,0.02545,0.4962
TP63,680,89035.2,6.11,-0.628,0.0765,64.8,4.9,25,0.03676,16,0.02353,0.4456
TP73,636,81080.5,6.49,-0.52,0.0676,67.0,5.2,23,0.03616,11,0.0173,0.4827
