gene_A,gene_B,homology_type,identity_pct
UBE2B,UBE2C,gene_family,
UBE2B,UBE2D1,gene_family,
UBE2B,UBE2D2,gene_family,
UBE2B,UBE2D3,gene_family,
UBE2B,UBE2D4,gene_family,
UBE2B,UBE2E1,gene_family,
UBE2B,UBE2E2,gene_family,
UBE2B,UBE2E3,gene_family,
UBE2B,UBE2F,gene_family,
UBE2B,UBE2G1,gene_family,
UBE2B,UBE2G2,gene_family,
UBE2B,UBE2H,gene_family,
UBE2B,UBE2I,gene_family,
UBE2B,UBE2J1,gene_family,
UBE2B,UBE2J2,gene_family,
UBE2B,UBE2K,gene_family,
UBE2B,UBE2L3,gene_family,
UBE2B,UBE2L5,gene_family,
UBE2B,UBE2L6,gene_family,
UBE2B,UBE2M,gene_family,
UBE2B,UBE2N,gene_family,
UBE2B,UBE2NL,gene_family,
UBE2B,UBE2O,gene_family,
UBE2B,UBE2Q1,gene_family,
UBE2B,UBE2Q2,gene_family,
UBE2B,UBE2QL1,gene_family,
UBE2B,UBE2R2,gene_family,
UBE2B,UBE2S,gene_family,
UBE2B,UBE2U,gene_family,
UBE2B,UBE2V1,gene_family,
UBE2B,UBE2V2,gene_family,
UBE2B,UBE2W,gene_family,
UBE2B,UBE2Z,gene_family,
UBE2B,CDC34,gene_family,
UBE2C,UBE2D1,gene_family,
UBE2C,UBE2D2,gene_family,
UBE2C,UBE2D3,gene_family,
UBE2C,UBE2D4,gene_family,
UBE2C,UBE2E1,gene_family,
UBE2C,UBE2E2,gene_family,
UBE2C,UBE2E3,gene_family,
UBE2C,UBE2F,gene_family,
UBE2C,UBE2G1,gene_family,
UBE2C,UBE2G2,gene_family,
UBE2C,UBE2H,gene_family,
UBE2C,UBE2I,gene_family,
UBE2C,UBE2J1,gene_family,
UBE2C,UBE2J2,gene_family,
UBE2C,UBE2K,gene_family,
UBE2C,UBE2L3,gene_family,
UBE2C,UBE2L5,gene_family,
UBE2C,UBE2L6,gene_family,
UBE2C,UBE2M,gene_family,
UBE2C,UBE2N,gene_family,
UBE2C,UBE2NL,gene_family,
UBE2C,UBE2O,gene_family,
UBE2C,UBE2Q1,gene_family,
UBE2C,UBE2Q2,gene_family,
UBE2C,UBE2QL1,gene_family,
UBE2C,UBE2R2,gene_family,
UBE2C,UBE2S,gene_family,
UBE2C,UBE2U,gene_family,
UBE2C,UBE2V1,gene_family,
UBE2C,UBE2V2,gene_family,
UBE2C,UBE2W,gene_family,
UBE2C,UBE2Z,gene_family,
UBE2C,CDC34,gene_family,
UBE2D1,UBE2D2,gene_family,
UBE2D1,UBE2D3,gene_family,
UBE2D1,UBE2D4,gene_family,
UBE2D1,UBE2E1,gene_family,
UBE2D1,UBE2E2,gene_family,
UBE2D1,UBE2E3,gene_family,
UBE2D1,UBE2F,gene_family,
UBE2D1,UBE2G1,gene_family,
UBE2D1,UBE2G2,gene_family,
UBE2D1,UBE2H,gene_family,
UBE2D1,UBE2I,gene_family,
UBE2D1,UBE2J1,gene_family,
UBE2D1,UBE2J2,gene_family,
UBE2D1,UBE2K,gene_family,
UBE2D1,UBE2L3,gene_family,
UBE2D1,UBE2L5,gene_family,
UBE2D1,UBE2L6,gene_family,
UBE2D1,UBE2M,gene_family,
UBE2D1,UBE2N,gene_family,
UBE2D1,UBE2NL,gene_family,
UBE2D1,UBE2O,gene_family,
UBE2D1,UBE2Q1,gene_family,
UBE2D1,UBE2Q2,gene_family,
UBE2D1,UBE2QL1,gene_family,
UBE2D1,UBE2R2,gene_family,
UBE2D1,UBE2S,gene_family,
UBE2D1,UBE2U,gene_family,
UBE2D1,UBE2V1,gene_family,
UBE2D1,UBE2V2,gene_family,
UBE2D1,UBE2W,gene_family,
UBE2D1,UBE2Z,gene_family,
UBE2D1,CDC34,gene_family,
UBE2D2,UBE2D3,gene_family,
UBE2D2,UBE2D4,gene_family,
UBE2D2,UBE2E1,gene_family,
UBE2D2,UBE2E2,gene_family,
UBE2D2,UBE2E3,gene_family,
UBE2D2,UBE2F,gene_family,
UBE2D2,UBE2G1,gene_family,
UBE2D2,UBE2G2,gene_family,
UBE2D2,UBE2H,gene_family,
UBE2D2,UBE2I,gene_family,
UBE2D2,UBE2J1,gene_family,
UBE2D2,UBE2J2,gene_family,
UBE2D2,UBE2K,gene_family,
UBE2D2,UBE2L3,gene_family,
UBE2D2,UBE2L5,gene_family,
UBE2D2,UBE2L6,gene_family,
UBE2D2,UBE2M,gene_family,
UBE2D2,UBE2N,gene_family,
UBE2D2,UBE2NL,gene_family,
UBE2D2,UBE2O,gene_family,
UBE2D2,UBE2Q1,gene_family,
UBE2D2,UBE2Q2,gene_family,
UBE2D2,UBE2QL1,gene_family,
UBE2D2,UBE2R2,gene_family,
UBE2D2,UBE2S,gene_family,
UBE2D2,UBE2U,gene_family,
UBE2D2,UBE2V1,gene_family,
UBE2D2,UBE2V2,gene_family,
UBE2D2,UBE2W,gene_family,
UBE2D2,UBE2Z,gene_family,
UBE2D2,CDC34,gene_family,
UBE2D3,UBE2D4,gene_family,
UBE2D3,UBE2E1,gene_family,
UBE2D3,UBE2E2,gene_family,
UBE2D3,UBE2E3,gene_family,
UBE2D3,UBE2F,gene_family,
UBE2D3,UBE2G1,gene_family,
UBE2D3,UBE2G2,gene_family,
UBE2D3,UBE2H,gene_family,
UBE2D3,UBE2I,gene_family,
UBE2D3,UBE2J1,gene_family,
UBE2D3,UBE2J2,gene_family,
UBE2D3,UBE2K,gene_family,
UBE2D3,UBE2L3,gene_family,
UBE2D3,UBE2L5,gene_family,
UBE2D3,UBE2L6,gene_family,
UBE2D3,UBE2M,gene_family,
UBE2D3,UBE2N,gene_family,
UBE2D3,UBE2NL,gene_family,
UBE2D3,UBE2O,gene_family,
UBE2D3,UBE2Q1,gene_family,
UBE2D3,UBE2Q2,gene_family,
UBE2D3,UBE2QL1,gene_family,
UBE2D3,UBE2R2,gene_family,
UBE2D3,UBE2S,gene_family,
UBE2D3,UBE2U,gene_family,
UBE2D3,UBE2V1,gene_family,
UBE2D3,UBE2V2,gene_family,
UBE2D3,UBE2W,gene_family,
UBE2D3,UBE2Z,gene_family,
UBE2D3,CDC34,gene_family,
UBE2D4,UBE2E1,gene_family,
UBE2D4,UBE2E2,gene_family,
UBE2D4,UBE2E3,gene_family,
UBE2D4,UBE2F,gene_family,
UBE2D4,UBE2G1,gene_family,
UBE2D4,UBE2G2,gene_family,
UBE2D4,UBE2H,gene_family,
UBE2D4,UBE2I,gene_family,
UBE2D4,UBE2J1,gene_family,
UBE2D4,UBE2J2,gene_family,
UBE2D4,UBE2K,gene_family,
UBE2D4,UBE2L3,gene_family,
UBE2D4,UBE2L5,gene_family,
UBE2D4,UBE2L6,gene_family,
UBE2D4,UBE2M,gene_family,
UBE2D4,UBE2N,gene_family,
UBE2D4,UBE2NL,gene_family,
UBE2D4,UBE2O,gene_family,
UBE2D4,UBE2Q1,gene_family,
UBE2D4,UBE2Q2,gene_family,
UBE2D4,UBE2QL1,gene_family,
UBE2D4,UBE2R2,gene_family,
UBE2D4,UBE2S,gene_family,
UBE2D4,UBE2U,gene_family,
UBE2D4,UBE2V1,gene_family,
UBE2D4,UBE2V2,gene_family,
UBE2D4,UBE2W,gene_family,
UBE2D4,UBE2Z,gene_family,
UBE2D4,CDC34,gene_family,
UBE2E1,UBE2E2,gene_family,
UBE2E1,UBE2E3,gene_family,
UBE2E1,UBE2F,gene_family,
UBE2E1,UBE2G1,gene_family,
UBE2E1,UBE2G2,gene_family,
UBE2E1,UBE2H,gene_family,
UBE2E1,UBE2I,gene_family,
UBE2E1,UBE2J1,gene_family,
UBE2E1,UBE2J2,gene_family,
UBE2E1,UBE2K,gene_family,
UBE2E1,UBE2L3,gene_family,
UBE2E1,UBE2L5,gene_family,
UBE2E1,UBE2L6,gene_family,
UBE2E1,UBE2M,gene_family,
UBE2E1,UBE2N,gene_family,
UBE2E1,UBE2NL,gene_family,
UBE2E1,UBE2O,gene_family,
UBE2E1,UBE2Q1,gene_family,
UBE2E1,UBE2Q2,gene_family,
UBE2E1,UBE2QL1,gene_family,
UBE2E1,UBE2R2,gene_family,
UBE2E1,UBE2S,gene_family,
UBE2E1,UBE2U,gene_family,
UBE2E1,UBE2V1,gene_family,
UBE2E1,UBE2V2,gene_family,
UBE2E1,UBE2W,gene_family,
UBE2E1,UBE2Z,gene_family,
UBE2E1,CDC34,gene_family,
UBE2E2,UBE2E3,gene_family,
UBE2E2,UBE2F,gene_family,
UBE2E2,UBE2G1,gene_family,
UBE2E2,UBE2G2,gene_family,
UBE2E2,UBE2H,gene_family,
UBE2E2,UBE2I,gene_family,
UBE2E2,UBE2J1,gene_family,
UBE2E2,UBE2J2,gene_family,
UBE2E2,UBE2K,gene_family,
UBE2E2,UBE2L3,gene_family,
UBE2E2,UBE2L5,gene_family,
UBE2E2,UBE2L6,gene_family,
UBE2E2,UBE2M,gene_family,
UBE2E2,UBE2N,gene_family,
UBE2E2,UBE2NL,gene_family,
UBE2E2,UBE2O,gene_family,
UBE2E2,UBE2Q1,gene_family,
UBE2E2,UBE2Q2,gene_family,
UBE2E2,UBE2QL1,gene_family,
UBE2E2,UBE2R2,gene_family,
UBE2E2,UBE2S,gene_family,
UBE2E2,UBE2U,gene_family,
UBE2E2,UBE2V1,gene_family,
UBE2E2,UBE2V2,gene_family,
UBE2E2,UBE2W,gene_family,
UBE2E2,UBE2Z,gene_family,
UBE2E2,CDC34,gene_family,
UBE2E3,UBE2F,gene_family,
UBE2E3,UBE2G1,gene_family,
UBE2E3,UBE2G2,gene_family,
UBE2E3,UBE2H,gene_family,
UBE2E3,UBE2I,gene_family,
UBE2E3,UBE2J1,gene_family,
UBE2E3,UBE2J2,gene_family,
UBE2E3,UBE2K,gene_family,
UBE2E3,UBE2L3,gene_family,
UBE2E3,UBE2L5,gene_family,
UBE2E3,UBE2L6,gene_family,
UBE2E3,UBE2M,gene_family,
UBE2E3,UBE2N,gene_family,
UBE2E3,UBE2NL,gene_family,
UBE2E3,UBE2O,gene_family,
UBE2E3,UBE2Q1,gene_family,
UBE2E3,UBE2Q2,gene_family,
UBE2E3,UBE2QL1,gene_family,
UBE2E3,UBE2R2,gene_family,
UBE2E3,UBE2S,gene_family,
UBE2E3,UBE2U,gene_family,
UBE2E3,UBE2V1,gene_family,
UBE2E3,UBE2V2,gene_family,
UBE2E3,UBE2W,gene_family,
UBE2E3,UBE2Z,gene_family,
UBE2E3,CDC34,gene_family,
UBE2F,UBE2G1,gene_family,
UBE2F,UBE2G2,gene_family,
UBE2F,UBE2H,gene_family,
UBE2F,UBE2I,gene_family,
UBE2F,UBE2J1,gene_family,
UBE2F,UBE2J2,gene_family,
UBE2F,UBE2K,gene_family,
UBE2F,UBE2L3,gene_family,
UBE2F,UBE2L5,gene_family,
UBE2F,UBE2L6,gene_family,
UBE2F,UBE2M,gene_family,
UBE2F,UBE2N,gene_family,
UBE2F,UBE2NL,gene_family,
UBE2F,UBE2O,gene_family,
UBE2F,UBE2Q1,gene_family,
UBE2F,UBE2Q2,gene_family,
UBE2F,UBE2QL1,gene_family,
UBE2F,UBE2R2,gene_family,
UBE2F,UBE2S,gene_family,
UBE2F,UBE2U,gene_family,
UBE2F,UBE2V1,gene_family,
UBE2F,UBE2V2,gene_family,
UBE2F,UBE2W,gene_family,
UBE2F,UBE2Z,gene_family,
UBE2F,CDC34,gene_family,
UBE2G1,UBE2G2,gene_family,
UBE2G1,UBE2H,gene_family,
UBE2G1,UBE2I,gene_family,
UBE2G1,UBE2J1,gene_family,
UBE2G1,UBE2J2,gene_family,
UBE2G1,UBE2K,gene_family,
UBE2G1,UBE2L3,gene_family,
UBE2G1,UBE2L5,gene_family,
UBE2G1,UBE2L6,gene_family,
UBE2G1,UBE2M,gene_family,
UBE2G1,UBE2N,gene_family,
UBE2G1,UBE2NL,gene_family,
UBE2G1,UBE2O,gene_family,
UBE2G1,UBE2Q1,gene_family,
UBE2G1,UBE2Q2,gene_family,
UBE2G1,UBE2QL1,gene_family,
UBE2G1,UBE2R2,gene_family,
UBE2G1,UBE2S,gene_family,
UBE2G1,UBE2U,gene_family,
UBE2G1,UBE2V1,gene_family,
UBE2G1,UBE2V2,gene_family,
UBE2G1,UBE2W,gene_family,
UBE2G1,UBE2Z,gene_family,
UBE2G1,CDC34,gene_family,
UBE2G2,UBE2H,gene_family,
UBE2G2,UBE2I,gene_family,
UBE2G2,UBE2J1,gene_family,
UBE2G2,UBE2J2,gene_family,
UBE2G2,UBE2K,gene_family,
UBE2G2,UBE2L3,gene_family,
UBE2G2,UBE2L5,gene_family,
UBE2G2,UBE2L6,gene_family,
UBE2G2,UBE2M,gene_family,
UBE2G2,UBE2N,gene_family,
UBE2G2,UBE2NL,gene_family,
UBE2G2,UBE2O,gene_family,
UBE2G2,UBE2Q1,gene_family,
UBE2G2,UBE2Q2,gene_family,
UBE2G2,UBE2QL1,gene_family,
UBE2G2,UBE2R2,gene_family,
UBE2G2,UBE2S,gene_family,
UBE2G2,UBE2U,gene_family,
UBE2G2,UBE2V1,gene_family,
UBE2G2,UBE2V2,gene_family,
UBE2G2,UBE2W,gene_family,
UBE2G2,UBE2Z,gene_family,
UBE2G2,CDC34,gene_family,
UBE2H,UBE2I,gene_family,
UBE2H,UBE2J1,gene_family,
UBE2H,UBE2J2,gene_family,
UBE2H,UBE2K,gene_family,
UBE2H,UBE2L3,gene_family,
UBE2H,UBE2L5,gene_family,
UBE2H,UBE2L6,gene_family,
UBE2H,UBE2M,gene_family,
UBE2H,UBE2N,gene_family,
UBE2H,UBE2NL,gene_family,
UBE2H,UBE2O,gene_family,
UBE2H,UBE2Q1,gene_family,
UBE2H,UBE2Q2,gene_family,
UBE2H,UBE2QL1,gene_family,
UBE2H,UBE2R2,gene_family,
UBE2H,UBE2S,gene_family,
UBE2H,UBE2U,gene_family,
UBE2H,UBE2V1,gene_family,
UBE2H,UBE2V2,gene_family,
UBE2H,UBE2W,gene_family,
UBE2H,UBE2Z,gene_family,
UBE2H,CDC34,gene_family,
UBE2I,UBE2J1,gene_family,
UBE2I,UBE2J2,gene_family,
UBE2I,UBE2K,gene_family,
UBE2I,UBE2L3,gene_family,
UBE2I,UBE2L5,gene_family,
UBE2I,UBE2L6,gene_family,
UBE2I,UBE2M,gene_family,
UBE2I,UBE2N,gene_family,
UBE2I,UBE2NL,gene_family,
UBE2I,UBE2O,gene_family,
UBE2I,UBE2Q1,gene_family,
UBE2I,UBE2Q2,gene_family,
UBE2I,UBE2QL1,gene_family,
UBE2I,UBE2R2,gene_family,
UBE2I,UBE2S,gene_family,
UBE2I,UBE2U,gene_family,
UBE2I,UBE2V1,gene_family,
UBE2I,UBE2V2,gene_family,
UBE2I,UBE2W,gene_family,
UBE2I,UBE2Z,gene_family,
UBE2I,CDC34,gene_family,
UBE2J1,UBE2J2,gene_family,
UBE2J1,UBE2K,gene_family,
UBE2J1,UBE2L3,gene_family,
UBE2J1,UBE2L5,gene_family,
UBE2J1,UBE2L6,gene_family,
UBE2J1,UBE2M,gene_family,
UBE2J1,UBE2N,gene_family,
UBE2J1,UBE2NL,gene_family,
UBE2J1,UBE2O,gene_family,
UBE2J1,UBE2Q1,gene_family,
UBE2J1,UBE2Q2,gene_family,
UBE2J1,UBE2QL1,gene_family,
UBE2J1,UBE2R2,gene_family,
UBE2J1,UBE2S,gene_family,
UBE2J1,UBE2U,gene_family,
UBE2J1,UBE2V1,gene_family,
UBE2J1,UBE2V2,gene_family,
UBE2J1,UBE2W,gene_family,
UBE2J1,UBE2Z,gene_family,
UBE2J1,CDC34,gene_family,
UBE2J2,UBE2K,gene_family,
UBE2J2,UBE2L3,gene_family,
UBE2J2,UBE2L5,gene_family,
UBE2J2,UBE2L6,gene_family,
UBE2J2,UBE2M,gene_family,
UBE2J2,UBE2N,gene_family,
UBE2J2,UBE2NL,gene_family,
UBE2J2,UBE2O,gene_family,
UBE2J2,UBE2Q1,gene_family,
UBE2J2,UBE2Q2,gene_family,
UBE2J2,UBE2QL1,gene_family,
UBE2J2,UBE2R2,gene_family,
UBE2J2,UBE2S,gene_family,
UBE2J2,UBE2U,gene_family,
UBE2J2,UBE2V1,gene_family,
UBE2J2,UBE2V2,gene_family,
UBE2J2,UBE2W,gene_family,
UBE2J2,UBE2Z,gene_family,
UBE2J2,CDC34,gene_family,
UBE2K,UBE2L3,gene_family,
UBE2K,UBE2L5,gene_family,
UBE2K,UBE2L6,gene_family,
UBE2K,UBE2M,gene_family,
UBE2K,UBE2N,gene_family,
UBE2K,UBE2NL,gene_family,
UBE2K,UBE2O,gene_family,
UBE2K,UBE2Q1,gene_family,
UBE2K,UBE2Q2,gene_family,
UBE2K,UBE2QL1,gene_family,
